circuit_idx,circuit,r2,r2_baseline,r2_gain,rmse,mae,pearson,spearman,best_alpha,val_preds,val_true,val_X_pca,train_losses,val_losses
2,"               ┌───┐┌───┐┌───┐┌───┐┌───┐          ┌───┐                                                  ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐               
q_0: ───────■──┤ H ├┤ H ├┤ X ├┤ H ├┤ T ├───────■──┤ T ├─────────────────■───────────────────■─────────■──┤ H ├┤ H ├┤ T ├┤ H ├┤ T ├┤ H ├───────────────
     ┌───┐  │  ├───┤├───┤└─┬─┘└───┘└───┘       │  └───┘                 │                   │         │  ├───┤├───┤├───┤├───┤└───┘├───┤     ┌───┐     
q_1: ┤ T ├──┼──┤ T ├┤ T ├──┼───────────────────┼────────────────────────┼──────────────■────┼────■────┼──┤ H ├┤ H ├┤ H ├┤ X ├──■──┤ H ├─────┤ X ├─────
     ├───┤  │  └───┘└───┘  │                   │            ┌───┐┌───┐  │  ┌───┐┌───┐  │    │    │    │  └───┘└───┘└───┘└─┬─┘  │  └───┘     └─┬─┘     
q_2: ┤ H ├──┼──────────────┼───────────────────┼─────────■──┤ T ├┤ H ├──┼──┤ H ├┤ H ├──┼────┼────┼────┼───────────────────┼────┼──────────────┼───────
     ├───┤  │  ┌───┐┌───┐  │            ┌───┐  │  ┌───┐  │  └───┘└───┘  │  └───┘└───┘  │    │    │  ┌─┴─┐                 │    │              │       
q_3: ┤ T ├──┼──┤ H ├┤ H ├──┼─────────■──┤ H ├──┼──┤ T ├──┼──────────────┼──────────────┼────┼────┼──┤ X ├─────────────────┼────┼──────────────┼───────
     ├───┤┌─┴─┐├───┤├───┤  │  ┌───┐┌─┴─┐└───┘  │  └───┘  │              │              │    │  ┌─┴─┐├───┤┌───┐            │  ┌─┴─┐┌───┐┌───┐  │  ┌───┐
q_4: ┤ T ├┤ X ├┤ T ├┤ H ├──┼──┤ H ├┤ X ├───────┼─────────┼──────────────┼──────────────┼────┼──┤ X ├┤ H ├┤ T ├────────────■──┤ X ├┤ H ├┤ H ├──┼──┤ H ├
     ├───┤├───┤└───┘└───┘  │  └───┘└───┘     ┌─┴─┐     ┌─┴─┐┌───┐┌───┐┌─┴─┐┌───┐     ┌─┴─┐┌─┴─┐├───┤├───┤├───┤┌───┐┌───┐     └───┘└───┘└───┘  │  └───┘
q_5: ┤ T ├┤ T ├────────────■─────────────────┤ X ├─────┤ X ├┤ T ├┤ T ├┤ X ├┤ T ├─────┤ X ├┤ X ├┤ H ├┤ H ├┤ H ├┤ H ├┤ H ├──────────────────────■───────
     └───┘└───┘                              └───┘     └───┘└───┘└───┘└───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘                              ", 

0.38774627447128296,0.3838115930557251,0.003934681415557861,0.7210926357603712,0.5756277441978455,0.6248834,0.613089673427474,100.0,"[ 5.41172922e-01  5.42211592e-01  3.63643259e-01  3.78685743e-01
 -6.67923838e-02  5.13910890e-01  1.55266762e-01  8.81101727e-01
  8.41456532e-01 -9.79403019e-01 -9.64854807e-02  1.65388286e-01
 -8.21136475e-01 -8.67270768e-01 -7.62219191e-01 -1.64289579e-01
 -5.09126961e-01 -8.79336238e-01  1.83303550e-01  5.96219748e-02
 -4.63533133e-01  5.04742384e-01  6.90164804e-01  6.90164804e-01
 -3.64895821e-01 -1.62475128e-02  3.26150656e-02 -5.92795491e-01
 -4.67660457e-01 -2.02815190e-01  1.24820899e-02  4.21836764e-01
  3.16973776e-02  3.52826864e-02 -4.33647424e-01 -7.72046268e-01
 -2.18722120e-01  4.78640109e-01 -1.45679191e-01 -7.98775733e-01
 -8.05550098e-01  1.53428897e-01  4.71865982e-02 -1.19172409e-01
 -6.00204825e-01 -2.89846331e-01 -1.87355597e-02 -1.08816373e+00
 -1.33240473e+00  1.71856105e-01  8.80571961e-01 -4.10283029e-01
 -5.53613544e-01  8.73944640e-01 -2.88002223e-01 -1.50534853e-01
  8.14067572e-02  1.76219270e-01  1.13225371e-01  4.43439513e-01
  8.62806797e-01 -1.18032861e+00  6.41845942e-01 -8.39282990e-01
  5.60284853e-01  4.88084495e-01 -4.51873988e-01 -2.71418273e-01
 -5.42050749e-02  1.45985588e-01  3.29731137e-01  1.14407524e-01
  2.92456876e-02  1.83373168e-01  1.75882071e-01  3.75852764e-01
  1.45925298e-01  1.23053804e-01  2.36457378e-01 -8.09294730e-02
  2.61871349e-02  6.53337687e-02  2.42821828e-01  6.76221609e-01
  4.92551357e-01  1.92583546e-01 -8.83868456e-01 -3.75805706e-01
 -2.16678549e-02 -3.22707832e-01  6.19199932e-01 -1.13029861e+00
 -1.74748674e-01  4.05975163e-01  7.68434882e-01  5.02436996e-01
  5.08299589e-01  3.71734172e-01  7.35771894e-01  5.09663463e-01
  6.00141764e-01  3.00073683e-01  5.37062526e-01  3.94012004e-01
  3.76064688e-01  4.88620520e-01  6.29218578e-01  6.73656821e-01
 -1.69893637e-01 -6.64969921e-01 -3.07017326e-01 -1.30849052e-02
  4.67620650e-03  1.53731957e-01  1.09089315e-01  2.41341125e-02
  3.70426327e-02 -4.75608021e-01 -5.63952804e-01 -2.61481076e-01
  3.30463737e-01  9.54467803e-02  3.88156027e-02  3.93245608e-01
  2.72794247e-01  2.15224519e-01  2.12098151e-01 -2.07717329e-01
 -3.82416040e-01 -3.49135160e-01 -5.70420504e-01 -5.36945462e-01
  2.11436883e-01 -5.97977877e-01 -5.62895715e-01 -7.55750239e-01
 -1.77895516e-01  4.93174344e-02 -5.81961989e-01  3.24778378e-01
  3.09375077e-01  1.54286921e-01  2.99635559e-01  2.34901801e-01
  2.68796295e-01  3.32645208e-01  7.25291967e-02 -4.28592861e-01
 -2.67289102e-01 -5.33554442e-02 -6.83060050e-01 -6.01134360e-01
 -8.13257158e-01 -5.93248010e-01 -8.49063039e-01 -6.48846984e-01
 -4.65532899e-01 -3.26987833e-01 -3.04440469e-01 -2.21314102e-01
 -1.43522788e-02  5.85609198e-01  6.01233423e-01  4.93607074e-01
  3.40033531e-01 -1.51412353e-01 -4.03370768e-01 -8.47335815e-01
 -2.60390133e-01 -1.39517844e-01 -9.40838754e-01 -5.60734570e-01
 -9.20761228e-01 -5.73838055e-01 -9.78653610e-01 -3.30285868e-03
 -9.23964202e-01 -1.02678621e+00 -1.13370001e+00 -3.49473119e-01
 -5.28737247e-01 -6.68502450e-01 -3.01790744e-01 -1.49144549e-02
 -1.74497113e-01 -7.87540227e-02 -5.80397725e-01 -5.73378861e-01
 -4.41873819e-01 -7.47863352e-01 -3.94032508e-01 -3.77629369e-01
 -6.34826899e-01 -9.49024737e-01 -1.01191521e+00 -7.55301535e-01
  1.02704179e+00  7.18441188e-01  2.72083908e-01  3.20146173e-01
 -7.00370818e-02  9.72170942e-03 -6.38762712e-01  1.45004839e-01
 -1.16250351e-01 -2.10704673e-02 -5.64569682e-02  1.31733313e-01
 -1.42492697e-01 -1.64986312e+00  2.32106254e-01 -4.07066256e-01
  4.60471720e-01  2.18239278e-01  1.54247209e-01  3.71755570e-01
  1.72783539e-01  1.34241879e+00  6.60406411e-01 -2.19172791e-01
 -9.66673493e-01  3.46903682e-01 -2.96923697e-01 -3.19411665e-01
  1.34948954e-01 -5.26129454e-02  6.09930515e-01  8.32365602e-02
 -8.70133579e-01 -6.02284558e-02  1.33232355e-01 -1.09209672e-01
 -8.83594342e-03  3.97543728e-01 -6.30212486e-01 -1.68438315e-01
