Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1752711600.210	     4.467	0	2453	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5mkr/5mkr_pocket.pdb
2	:	1752711602.712	     4.647	0	2764	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3cfn/3cfn_pocket.pdb
3	:	1752711605.215	     4.453	0	2847	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5nyh/5nyh_pocket.pdb
4	:	1752711607.716	     4.330	0	2670	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1mrn/1mrn_pocket.pdb
5	:	1752711610.217	     4.052	0	2643	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5m28/5m28_pocket.pdb
6	:	1752711612.717	     3.533	0	2535	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6d1g/6d1g_pocket.pdb
7	:	1752711615.217	     3.707	0	2696	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2qdt/2qdt_pocket.pdb
8	:	1752711617.718	     3.732	0	2639	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4dld/4dld_pocket.pdb
9	:	1752711620.219	     4.085	0	2772	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5oht/5oht_pocket.pdb
10	:	1752711622.723	     4.615	0	2688	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6h34/6h34_pocket.pdb
11	:	1752711625.226	     4.125	0	2536	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6mla/6mla_pocket.pdb
12	:	1752711627.728	     3.458	0	2360	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3twp/3twp_pocket.pdb
13	:	1752711630.229	     3.570	0	2596	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4pee/4pee_pocket.pdb
14	:	1752711632.730	     4.368	0	2992	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4idn/4idn_pocket.pdb
