Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1752711733.012	     3.615	0	2469	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5mkr/5mkr_pocket.pdb
2	:	1752711735.514	     4.172	0	2780	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3cfn/3cfn_pocket.pdb
3	:	1752711738.016	     5.022	0	2863	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5nyh/5nyh_pocket.pdb
4	:	1752711740.517	     5.898	0	2686	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1mrn/1mrn_pocket.pdb
5	:	1752711743.022	     5.609	0	2659	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5m28/5m28_pocket.pdb
6	:	1752711745.537	     4.647	0	2551	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6d1g/6d1g_pocket.pdb
7	:	1752711748.043	     4.381	0	2712	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2qdt/2qdt_pocket.pdb
8	:	1752711750.544	     4.486	0	2655	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4dld/4dld_pocket.pdb
9	:	1752711753.046	     4.220	0	2788	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5oht/5oht_pocket.pdb
10	:	1752711755.547	     4.008	0	2704	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6h34/6h34_pocket.pdb
11	:	1752711758.050	     4.446	0	2552	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6mla/6mla_pocket.pdb
12	:	1752711760.552	     5.131	0	2376	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3twp/3twp_pocket.pdb
13	:	1752711763.054	     5.105	0	2612	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4pee/4pee_pocket.pdb
14	:	1752711765.565	     5.128	0	3008	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4idn/4idn_pocket.pdb
15	:	1752711768.068	     4.621	0	2791	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3vf5/3vf5_pocket.pdb
16	:	1752711770.571	     4.116	0	2612	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1z6e/1z6e_pocket.pdb
18	:	1752711775.574	     8.161	0	2566	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3zt2/3zt2_pocket.pdb
17	:	1752711773.073	    11.456	0	6926	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5qay/5qay_pocket.pdb
19	:	1752711778.087	     9.535	0	2659	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6htg/6htg_pocket.pdb
20	:	1752711780.602	    11.444	0	2491	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1h0a/1h0a_pocket.pdb
21	:	1752711783.749	    10.524	0	2746	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4m8x/4m8x_pocket.pdb
22	:	1752711786.259	    11.476	0	2699	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4hzm/4hzm_pocket.pdb
23	:	1752711788.773	    11.536	0	2641	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5z99/5z99_pocket.pdb
24	:	1752711792.057	     9.335	0	2680	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2i80/2i80_pocket.pdb
25	:	1752711794.573	     8.319	0	2713	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2d1n/2d1n_pocket.pdb
26	:	1752711797.768	     6.715	0	2371	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6poi/6poi_pocket.pdb
27	:	1752711800.323	     6.271	0	2658	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ipn/4ipn_pocket.pdb
28	:	1752711802.827	     6.511	0	2915	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4wkn/4wkn_pocket.pdb
